Aal	'ʔaː.aːl
Mönche	'mœn.çə
mönchisch	'mœn.çiːʃ
mönchische	'mœn.çiː.ʃə
mönchische Entsagung	'mœn.çiː.ʃeː .ɛnt.za.gʊŋ
Mönchkloster	'mœnç.klɔ.ʃtɐ
Mönchklöster	'mœnç.klœ.ʃtɐ
Mönchskutte	'mœnç.skʊ.tə
Mönchtum	'mœnç.tuːm
Möpse	'møːp.zə
Mörder	'mœɐ.dɐ
Mörderin	'mœɐ.də.ʀiːn
mörderisch	'mœɐ.də.ʀiːʃ
mörderische	'mœɐ.də.ʀiː.ʃə
mörderischen	'mœɐ.də.ʀiː.ʃən
mörderisches	'mœɐ.də.ʀiː.ʃeːs
Mörser	'møːɐ.zɐ
Mörtel	'mœɐ.təl
Mörtelbrett	'mœɐ.təl.bʀɛt
Mörtelkelle	'mœɐ.təl.kɛ.lə
Möwe	'møː.və
Möwen	'møː.vən
Mücke	'mʏ.kə
Mücken	'mʏ.kən
Mückenstich	'mʏ.kən.ʃtɪç
müde	'myː.də
müde werden	'myː.deː .vɐ.dən
müdere	'myː.də.ʀə
müdes	'myː.deːs
müdeste	'myː.də.ʃtə
Müdigkeit	'myː.dɪç.kaɪt
Müdigkeiten	'myː.dɪç.kaɪ.tən
Mühe	'myː.hə
Mühe machen	'myː.heː .maː.xən
mühelos	'myː.hə.loːs
mühelose	'myː.hə.loː.zə
mühelosere	'myː.hə.loː.zə.ʀə
müheloseste	'myː.hə.loː.zə.ʃtə
Mühelosigkeit	'myː.hə.loː.zɪç.kaɪt
Mühen	'myː.hən
mühevoll	'myː.hə.fɔl
Mühle	'myː.lə
Mühlen	'myː.lən
Mühlstein	'myːl.ʃtaɪn
Mühlsteine	'myːl.ʃtaɪ.nə
Mühlteich	'myːl.taɪç
Mühsal	'myː.zaːl
mühsam	'myː.zaːm
mühsame	'myː.zaː.mə
mühselig	'myː.zə.lɪç
mühseligere	'myː.zə.liː.gə.ʀə
Mühseligkeit	'myː.zə.lɪç.kaɪt
mühseligste	'myː.zə.lɪç.ʃtə
Müll	'mʏl
Müllabfuhr	'mʏ.laːp.fuːɐ
Mülleimer	'mʏ.laɪ.mɐ
MüllEntsorgung	'mʏ.lɛnt.zɔɐ.gʊŋ
Müller	'mʏ.lɐ
Müllfahrer	'mʏl.faː.ʀɐ
Müllplatz	'mʏl.plaːʦ
Müllschlucker	'mʏl.ʃlʊ.kɐ
Mülltonne	'mʏl.tɔ.nə
Müllverbrennungsanlage	'mʏl.fɐ.bʀɛ.nʊnks.a.nlaː.gə
Müllverwertungsanlage	'mʏl.fɐ.vɐ.tʊnks.a.nlaː.gə
Müllwagen	'mʏl.vaː.gən
München	'mʏn.çən
münden	'mʏn.dən
mündend	'mʏn.dɛnt
Münder	'mʏn.dɐ
mündet	'mʏn.deːt
mündete	'mʏn.də.tə
mündig	'mʏn.dɪç
mündig werden	'mʏn.dɪk .vɐ.dən
mündlich	'mʏn.dlɪç
mündliche	'mʏn.dlɪ.çə
mündliche Prüfungen	'mʏn.dlɪ.çeː .pʀʏ.fʊŋ.gən
mündlicher Vertrag	'mʏn.dlɪ.çɛɐ .fɐ.tʀaːk
Mündung	'mʏn.dʊŋ
Mündung einer Schusswaffe	'mʏn.dʊnk  .aɪ.nɛɐ .ʃʊ.svaːf.fə
Mündungen	'mʏn.dʊŋ.gən
Münster	'myːn.ʃtɐ
Münze	'mʏn.ʦə
münzen	'mʏn.ʦən
münzen	'mʏn.ʦən
Münzer	'mʏn.ʦɐ
Münzfernsehen	'mʏnʦ.fɐn.zeː.ən
Münzfernsprecher	'mʏnʦ.fɐn.ʃpʀə.çɐ
Münzgeld	'mʏnʦ.gɛlt
mürbe	'mʏɐ.bə
mürbe machen	'mʏɐ.beː .maː.xən
Mürbeteiggebäck	'mʏɐ.bə.taɪ.gə.bɛk
mürrisch	'mʏ.ʀiːʃ
mürrische	'mʏ.ʀiː.ʃə
mürrischen	'mʏ.ʀiː.ʃən
mürrischer	'mʏ.ʀiː.ʃɐ
mürrischste	'mʏ.ʀiːʃ.ʃtə
müssen	'mʏ.sən
Mütter	'mʏ.tɐ
Mütterchen	'mʏ.tɐ.çən
mütterlich	'mʏ.tə.ʀlɪç
mütterliche	'mʏ.tə.ʀlɪ.çə
mütterliches	'mʏ.tə.ʀlɪ.çeːs
Mütterlichkeit	'mʏ.tə.ʀlɪç.kaɪt
Mütze	'myːt.ʦə
Mützen	'myːt.ʦən
müßig	'myː.sɪç
müßige	'myː.siː.gə
Müßiggänger	'mʏ.sɪ.gən.gɐ
n	n
Nabe	'naː.bə
Nabel	'naː.bəl
Nabel der Welt	'naː.bɛl  .dɛɐ .vɛlt
Nabelschnur	'naː.bəl.ʃnuːɐ
Nabenabstand	'naː.bə.naːp.ʃtant
Nabenweite der Hinterachse	'naː.bən.vaɪ.tɛ  .dɛɐ .hɪn.tə.ʀaːx.zə
nach	'naːx
nach	'naːx
nach allem	'nax .a.ləm
nach Belieben	'nax .bə.liː.bən
nach bestem Wissen und Gewissen	'nax .bə.ʃtɛm .vɪ.sɛn .ʊnt .gə.vɪ.sən
nach dem Abgang von der Schule	'nax .dɛm .aːp.gank .fɔn .dɛɐ .ʃuː.lə
nach dem Stand der Dinge	'nax .dɛm .ʃtant .dɛɐ .dɪŋ.gə
nach dem Tode	'nax .dɛm .toː.də
nach dem zu urteilen	'nax .dɛm .ʦuː .ʊɐ.taɪ.lən
nach der Doktorarbeit	'nax .dɛɐ .doːk.toː.ʀaɐ.baɪt
nach der Geburt	'nax .dɛɐ .gə.bʊɐt
nach deutschem Recht	'nax .dɔɪt.ʃɛm .ʀɛçt
nach Feierabend	'nax .faɪ.ə.ʀaː.bɛnt
nach Hause	'nax .haʊ.zə
nach Hause gehen	'nax .haʊ.zeː .geː.ən
nach Hause kommen gelangen	'nax .haʊ.zeː .kɔ.mɛn .gə.laŋ.gən
nach Herzenslust	'nax .hɐ.ʦən.slʊst
nach hinten	'nax .hɪn.tən
nach Ihrer Aussage	'nax .iː.ʀɛɐ .aʊ.saː.gə
nach innen gerichtet	'nax .ɪ.nɛn .gə.ʀɪç.teːt
nach innen richten	'nax .ɪ.nɛn .ʀɪç.tən
nach jemandes Pfeife tanzen	'nax .jə.man.dɛs .pfaɪ.feː .tan.ʦən
nach links	'nax .lɪnks
nach Maß	'nax .maːs
nach Maß machen	'nax .mas .maː.xən
nach Maßgabe	'nax .maːs.gaː.bə
nach meinem Geschmack	'nax .maɪ.nɛm .gə.ʃmak
nach meinen Erfahrungen	'nax .maɪ.nɛn .ɐ.faː.ʀʊŋ.gən
nach meiner Schätzung	'nax .maɪ.nɛɐ .ʃeːt.ʦʊŋ
nach Noten singen	'nax .noː.tɛn .zɪŋ.gən
nach oben	'nax .oː.bən
nach oben unten	'nax .oː.bɛn .ʊn.tɛn
nach oben beschränkt	'nax .oː.bɛn .bə.ʃʀɛnkt
nach oben gestaffelte Steuer	'nax .oː.bɛn .gə.ʃtaːf.fəl.teː .ʃtɔɪ.ɐ
nach oben gewandt	'nax .oː.bɛn .gə.vant
nach oben wenden	'nax .oː.bɛn .vɛn.dən
nach oben wendend	'nax .oː.bɛn .vən.dɛnt
nach Osten gehend	'nax .ɔ.ʃtɛn .geː.ɛnt
nach rechts	'nax .ʀɛçʦ
nach reiflichem Nachdenken	'nax .ʀaɪ.flɪ.çɛm .naːx.dɛŋ.kən
nach sich ziehen	'nax .zɪç .ʦiː.ən
nach Sicht	'nax .zɪçt
nach Süden	'nax .zyː.dən
nach Südwesten	'nax .zyːt.və.ʃtən
nach und nach	'nax .ʊnt .naːx
nach unten beschränkt	'nax .ʊn.tɛn .bə.ʃʀɛnkt
nach unten gestaffelte Steuer	'nax .ʊn.tɛn .gə.ʃtaːf.fəl.teː .ʃtɔɪ.ɐ
nach vorn	'nax .fɔɐn
nach Westen westwärts gehen ziehen	'nax .və.ʃtɛn .vɛst.vɛɐʦ .geː.ɛn .ʦiː.ən
nach wie vor	'nax .viː .foːɐ
Nachabbildung	'na.xa.bɪl.dʊŋ
nachahmbar	'naː.xaːm.baːɐ
nachahmen	'naː.xaː.mən
nachahmend	'naː.xaː.mɛnt
nachahmende	'naː.xaː.mən.də
Nachahmung	'naː.xaː.mʊŋ
Nachahmungen	'naː.xaː.mʊŋ.gən
Nachbar	'naːx.baːɐ
nachbarlich	'naːx.ba.ʀlɪç
Nachbarn	'naːx.baɐn
Nachbarschaft	'naːx.baːɐ.ʃaft
Nachbarschaften	'naːx.baːɐ.ʃaːf.tən
Nachbau	'naːx.baʊ
Nachbearbeitung	'naːx.bə.aɐ.baɪ.tʊŋ
Nachbehandlung	'naːx.beː.an.dlʊŋ
Nachbelastung	'naːx.bə.la.ʃtʊŋ
Nachbelastungsauftrag	'naːx.bə.la.ʃtʊnks.aʊf.tʀaːk
nachbestellen	'naːx.bə.ʃtɛ.lən
nachbestellend	'naːx.bə.ʃtɛ.lɛnt
nachbestellt	'naːx.bə.ʃtɛlt
Nachbestellung	'naːx.bə.ʃtɛ.lʊŋ
nachbezahlen	'naːx.bə.ʦaː.lən
nachbezahlend	'naːx.bə.ʦaː.lɛnt
nachbezahlt	'naːx.bə.ʦaːlt
Nachbezahlung	'naːx.bə.ʦaː.lʊŋ
Nachbezahlungen	'naːx.bə.ʦaː.lʊŋ.gən
nachbilden	'naːx.bɪl.dən
nachbildend	'naːx.bɪl.dɛnt
Nachbilder	'naːx.bɪl.dɐ
Nachbildung	'naːx.bɪl.dʊŋ
Nachbrenner	'naːx.bʀɛ.nɐ
nachdatieren	naːx.da.'tiː.ʀən
nachdatierend	naːx.da.'tiː.ʀɛnt
nachdem	'naːx.dəm
nachdenken	'naːx.dɛŋ.kən
nachdenkend	'naːx.dən.kɛnt
nachdenklich	'naːx.dən.klɪç
nachdenkliche	'naːx.dən.klɪ.çə
nachdenklichen	'naːx.dɛŋ.klɪ.çən
Nachdenklichkeit	'naːx.dən.klɪç.kaɪt
Nachdruck	'naːx.dʀʊk
nachdrucken	'naːx.dʀʊ.kən
nachdrängen	'naːx.dʀɛŋ.gən
nachdrängend	'naːx.dʀən.gɛnt
nachdrücklich	'naːx.dʀʏ.klɪç
nacheifern	'na.xaɪ.fɐn
nacheifernd	'na.xaɪ.fɛɐnt
Nacheiferung	'na.xaɪ.fə.ʀʊŋ
nacheinander	'na.xaɪ.nan.dɐ
nacheinanderfolgend	'na.xaɪ.nan.dɐ.fɔl.gɛnt
nachempfinden	'naː.xəm.pfɪn.dən
nachempfindend	'naː.xəm.pfɪn.dɛnt
Nachempfindung	'naː.xəm.pfɪn.dʊŋ
Nachempfindungen	'naː.xəm.pfɪn.dʊŋ.gən
nachempfunden	'naː.xəm.pfʊn.dən
nacherwärmen	'naː.xɐ.vɐ.mən
Nacherwärmer	'naː.xɛɐ.vɐ.mɐ
Nacherwärmung	'naː.xɐ.vɐ.mʊŋ
nacherzählen	'naː.xɐ.ʦə.lən
nacherzählend	'naː.xɐ.ʦə.lɛnt
nacherzählt	'naː.xɐ.ʦɛlt
Nacherzählung	'naː.xɐ.ʦə.lʊŋ
nachfassender Werbebrief	'naːx.fa.sən.dɛɐ .vɐ.bə.bʀiːf
nachfolgen	'naːx.fɔl.gən
nachfolgend	'naːx.fɔl.gɛnt
nachfolgende Abbildungen	'naːx.fɔl.gɛn.deː .a.bɪl.dʊŋ.gən
nachfolgendes Feld	'naːx.fɔl.gən.dɛs .fɛlt
Nachfolger	'naːx.fɔl.gɐ
Nachforschung	'naːx.foːɐ.ʃʊŋ
Nachfrage	'naːx.fʀaː.gə
Nachfrage befriedigen	'naːx.fʀaː.geː .bə.fʀiː.diː.gən
nachfragen	'naːx.fʀaː.gən
Nachfrist	'naːx.fʀɪst
Nachführen	'naːx.fyː.ʀən
nachfüllen	'naːx.fʏ.lən
nachfüllend	'naːx.fʏ.lɛnt
nachgeahmt	'naːx.gə.aːmt
nachgeben	'naːx.gə.bən
nachgebend	'naːx.gə.bɛnt
nachgebildet	'naːx.gə.bɪl.deːt
Nachgeburt	'naːx.gə.bʊɐt
Nachgebühr	'naːx.gə.byːɐ
Nachgebührauftrag	'naːx.gə.byː.ʀaʊf.tʀaːk
nachgedacht	'naːx.gə.daxt
nachgedrängt	'naːx.gə.dʀɛnkt
nachgeeifert	'naːx.gə.aɪ.fɛɐt
nachgefüllt	'naːx.gə.fʏlt
nachgegeben	'naːx.gə.gə.bən
nachgehangen	'naːx.geː.aŋ.gən
nachgeklungen	'naːx.gə.klʊŋ.gən
nachgeladene	'naːx.gə.laː.də.nə
nachgelassen	'naːx.gə.la.sən
nachgelaufen	'naːx.gə.laʊ.fən
nachgeliefert	'naːx.gə.liː.fɛɐt
nachgelöst	'naːx.gə.lœst
nachgemacht	'naːx.gə.maxt
nachgeprüft	'naːx.gə.pʀʏft
nachgeredet	'naːx.gə.ʀə.deːt
nachgeschalteter Rechner	'naːx.gə.ʃal.tə.tɛɐ .ʀə.çnɐ
nachgeschickt	'naːx.gə.ʃɪkt
Nachgeschmack	'naːx.gə.ʃmak
nachgestanden	'naːx.gə.ʃtan.dən
nachgestellt	'naːx.gə.ʃtɛlt
nachgewachsene	'naːx.gə.vaːx.zə.nə
nachgeäfft	'naːx.gə.ɛfft
nachgiebig	'naːx.giː.bɪç
nachgiebigere	'naːx.giː.biː.gə.ʀə
Nachgiebigkeit	'naːx.giː.bɪç.kaɪt
nachgiebigste	'naːx.giː.bɪç.ʃtə
nachhallen	'naːx.ha.lən
nachhallend	'naːx.ha.lɛnt
nachhallende	'naːx.ha.lən.də
nachher	'naːx.hɐ
Nachhilfeunterricht	'naːx.hiːl.fɔɪn.tɛ.ʀɪçt
Nachholbedarf	'naːx.hɔl.bə.daɐf
Nachhut	'naːx.huːt
nachhängen	'naːx.hɛŋ.gən
nachhängend	'naːx.hən.gɛnt
Nachklang	'naːx.klaŋ
nachklingend	'naːx.klɪŋ.gɛnt
Nachkomme	'naːx.kɔ.mə
Nachkommen	'naːx.kɔ.mən
Nachkriegs	'naːx.kʀiːks
nachladen	'na.xlaː.dən
nachladend	'na.xlaː.dɛnt
Nachlass	'na.xlas
nachlassen	'na.xla.sən
nachlassend	'na.xla.sɛnt
nachlassende	'na.xla.sən.də
Nachlassgericht	'na.xla.sgə.ʀɪçt
Nachlassverwalterin	'na.xla.sfɐ.val.tə.ʀiːn
Nachlassverwaltung	'na.xla.sfɐ.val.tʊŋ
Nachlauf	'na.xlaʊf
Nachlaß	'na.xlas
Nachlese	'na.xlə.zə
nachleuchten	'na.xlɔɪx.tən
nachleuchten	'na.xlɔɪx.tən
Nachleuchten Dioden	'na.xlɔɪx.tɛn .diː.oː.dən
nachliefern	'na.xliː.fɐn
nachliefernd	'na.xliː.fɛɐnt
Nachlieferung	'na.xliː.fə.ʀʊŋ
Nachlieferungen	'na.xliː.fə.ʀʊŋ.gən
nachlässig	'na.xlɛ.sɪç
nachlässige	'na.xlɛ.siː.gə
nachlässigen	'na.xlɛ.siː.gən
nachlässiges	'na.xlɛ.siː.geːs
Nachlässigkeit	'na.xlɛ.sɪç.kaɪt
Nachlässigkeiten	'na.xlɛ.sɪç.kaɪ.tən
nachlösen	'na.xløː.zən
nachmachen	'na.xmaː.xən
nachmachend	'na.xmaː.xɛnt
Nachmacherei	'na.xmaː.xə.ʀaɪ
nachmessend	'na.xmɛ.sɛnt
Nachmittag	'na.xmɪ.taːk
nachmittags	'na.xmɪ.taks
Nachnahme	'na.xnaː.mə
Nachname	'na.xnaː.mə
Nachnamen	'na.xnaː.mən
nachplappernd	'naːx.pla.pɛɐnt
nachprüfbar	'naːx.pʀyːf.baːɐ
nachprüfen	'naːx.pʀyː.fən
nachprüfend	'naːx.pʀyː.fɛnt
Nachprüfung	'naːx.pʀʏ.fʊŋ
nachrechnen	'na.xʀə.çnən
Nachrechner	'na.xʀə.çnɐ
nachregeln	'na.xʀə.gɛln
Nachregelung	'na.xʀə.gə.lʊŋ
Nachricht	'na.xʀɪçt
Nachricht haben von	'na.xʀɪçt .haː.bɛn .foːn
Nachrichten	'na.xʀɪç.tən
Nachrichtenagentur	'na.xʀɪç.tə.naː.gən.tuːɐ
Nachrichtenagenturen	'na.xʀɪç.tə.naː.gɛn.tuː.ʀən
Nachrichtenaustausch über Satelliten	'na.xʀɪç.tə.naʊ.ʃtaʊʃ  .yː.bɛɐ .zaː.tɛ.liː.tən
Nachrichtenbüro	'na.xʀɪç.tən.byː.ʀoː
Nachrichtendienst	'na.xʀɪç.tən.diːnst
Nachrichtensendung	'na.xʀɪç.tɛn.zən.dʊŋ
Nachrichtensendungen	'na.xʀɪç.tɛn.zɛn.dʊŋ.gən
Nachrichtensprecher	'na.xʀɪç.tən.ʃpʀə.çɐ
Nachrichtentechnik	'na.xʀɪç.tən.tə.çniːk
Nachrichtenwesen	'na.xʀɪç.tɛn.və.zən
Nachruf	'na.xʀuːf
Nachrüstbausatz	'na.xʀʏst.baʊ.zaːʦ
nachrüsten	'na.xʀʏ.ʃtən
Nachsatz	'naːx.zaːʦ
nachschicken	'naːx.ʃɪ.kən
Nachschlag	'naːx.ʃlaːk
nachschlagen	'naːx.ʃlaː.gən
Nachschlagewerk	'naːx.ʃlaː.gə.vɛɐk
nachschleppen	'naːx.ʃlɛ.pən
nachschleppend	'naːx.ʃlɛ.pɛnt
Nachschrift	'naːx.ʃʀɪft
nachschusspflichtig	'naːx.ʃʊ.spflɪç.tɪç
nachschusspflichtige Aktien	'naːx.ʃʊ.spflɪç.tiː.geː .aːk.tiːn
Nachschusszahlung	'naːx.ʃʊ.sʦaː.lʊŋ
nachschüssige Rente	'naːx.ʃʏ.siː.geː .ʀən.tə
nachsehen	'naːx.zeː.ən
nachsehen Speicher	'naːx.zeː.ɛn .ʃpaɪ.çɐ
Nachselektion	naːx.zə.leːk.'ʦjoːn
Nachsendeadresse	'naːx.zən.də.a.dʀɛ.sə
nachsenden	'naːx.zɛn.dən
Nachsendung	'naːx.zən.dʊŋ
Nachsicht	'naːx.zɪçt
Nachsicht gezeigt	'naːx.zɪçt .gə.ʦaɪkt
Nachsicht zeigen	'naːx.zɪçt .ʦaɪ.gən
Nachsicht zeigend	'naːx.zɪçt .ʦaɪ.gɛnt
Nachsichten	'naːx.zɪç.tən
nachsichtig	'naːx.zɪç.tɪç
nachsichtige	'naːx.zɪç.tiː.gə
Nachsichtwechsel	'naːx.zɪçt.veːç.zəl
Nachsilbe	'naːx.zɪl.bə
Nachsilben	'naːx.zɪl.bən
Nachspann	'naːx.ʃpan
Nachspiel	'naːx.ʃpiːl
Nachspiele	'naːx.ʃpiː.lə
Nachspur beim Auto	'naːx.ʃpʊɐ  .baɪm .aʊ.toː
nachspüren	'naːx.ʃpyː.ʀən
nachstehen	'naːx.ʃteː.ən
nachstehend	'naːx.ʃteː.ɛnt
nachstellen	'naːx.ʃtɛ.lən
nachstellend	'naːx.ʃtɛ.lɛnt
nachsuchen	'naːx.zuː.xən
Nacht	'naxt
Nacht	'naxt
Nachtarbeit	'naːx.taɐ.baɪt
Nachtdienst	'naxt.diːnst
Nachteil	'naːx.taɪl
Nachteile	'naːx.taɪ.lə
nachteilig	'naːx.taɪ.lɪç
nachteilige	'naːx.taɪ.liː.gə
nachteiligere	'naːx.taɪ.liː.gə.ʀə
nachteiligste	'naːx.taɪ.lɪç.ʃtə
Nachteinbruch	'naːx.taɪn.bʀuːx
Nachthemd	'naxt.hɛmt
Nachthemden	'naxt.həm.dən
Nachtigall	'naːx.tiː.gal
Nachtigallen	'naːx.tiː.ga.lən
Nachtisch	'naːx.tiːʃ
Nachtlager	'naːx.tlaː.gɐ
Nachtlokal	'naːx.tloː.kaːl
Nachtmütze	'naxt.myːt.ʦə
Nachtmützen	'naxt.myːt.ʦən
Nachtrag	'naːx.tʀaːk
nachtragend	'naːx.tʀaː.gɛnt
nachtragende	'naːx.tʀaː.gən.də
Nachtragsbilanz	'naːx.tʀaːk.sbiː.lanʦ
Nachtragspolice	'naːx.tʀaːk.ʃpoː.liːc.ə
Nachträge	'naːx.tʀə.gə
nachträglich	'naːx.tʀə.glɪç
nachträgliche	'naːx.tʀə.glɪ.çə
nachträglicher Einfall	'naːx.tʀə.glɪ.çɛɐ .aɪn.fal
Nachträglichkeit	'naːx.tʀə.glɪç.kaɪt
nachts	'naxʦ
Nachtschwärmer	'naxt.ʃvɐ.mɐ
Nachtstück	'naxt.ʃtʏk
Nachttisch	'naːx.tiːʃ
Nachtwache	'naxt.vaː.xə
Nachtwachen	'naxt.vaː.xən
Nachtwandeln	'naxt.van.dɛln
Nachtwandler	'naxt.van.dlɐ
Nachtzeit	'naxt.ʦaɪt
Nachuntersuchung	'na.xʊn.tɐ.zuː.xʊŋ
Nachuntersuchungen	'na.xʊn.tɐ.zuː.xʊŋ.gən
nachversichern	'naːx.fɐ.zɪ.çɐn
nachversichernd	'naːx.fɐ.zɪ.çɛɐnt
nachvollziehen	'naːx.fɔl.ʦiː.ən
nachwachsen	'naːx.vaːx.zən
nachwachsend	'naːx.vaːx.zɛnt
Nachwehen	'naːx.veː.ən
nachweinend	'naːx.vaɪ.nɛnt
Nachweis	'naːx.vaɪs
nachweisbar	'naːx.vaɪ.sbaːɐ
nachweisbare	'naːx.vaɪ.sbaː.ʀə
nachweisen	'naːx.vaɪ.zən
Nachwelt	'naːx.vɛlt
Nachwirkung	'naːx.vɪɐ.kʊŋ
Nachwirkungen	'naːx.vɪɐ.kʊŋ.gən
Nachwort	'naːx.vɔɐt
Nachwuchs	'naːx.vʊxs
Nachwuchs	'naːx.vʊxs
Nachwuchs Familie	'naːx.vʊxs  .faː.miː.liː
Nachwuchs Firma	'naːx.vʊxs  .fiːɐ.maː
Nachwuchs Sport	'naːx.vʊxs  .ʃpɔɐt
Nachwuchskraft	'naːx.vuːx.skʀaft
Nachwuchssorgen haben	'naːx.vuːx.sɔɐ.gɛn .haː.bən
Nachzahlung	'naːx.ʦaː.lʊŋ
nachziehend	'naːx.ʦiː.ɛnt
nachzählen	'naːx.ʦə.lən
nachzählend	'naːx.ʦə.lɛnt
Nachzügler	'naːx.ʦʏ.glɐ
nachäffen	'naː.xeːf.fən
nachäffend	'naː.xeːf.fɛnt
Nachäffer	'naː.xeːf.fɐ
Nachäffungen	'naː.xeːf.fʊŋ.gən
Nacken	'na.kən
Nackenrolle	'na.kə.nʀɔ.lə
nackig	'na.kɪç
nackt	'nakt
nackte Tatsachen	'nak.teː .taːt.zaː.xən
Nacktheit	'nakt.haɪt
Nadel	'naː.dəl
Nadelbaum	'naː.dəl.baʊm
Nadelbäume	'naː.dəl.bə.uː.mə
Nadeldrucker	'naː.dəl.dʀʊ.kɐ
nadelförmig	'naː.dəl.føːɐ.mɪç
Nadelholz	'naː.dəl.hɔlʦ
Nadelkissen	'naː.dəl.kɪ.sən
Nadelkopf	'naː.dəl.kɔpf
Nadellager	'naː.dɛ.laː.gɐ
Nadelloch	'naː.dɛ.loːx
Nadeln	'naː.dɛln
Nadelspitze	'naː.dəl.ʃpiːt.ʦə
Nadelstich	'naː.dəl.ʃtɪç
Nadelstreifen	'naː.dəl.ʃtʀaɪ.fən
Nadelöhr	'naː.də.løːɐ
Nagel	'naː.gəl
Nagelbett	'naː.gəl.bɛt
Nagelbürste	'naː.gəl.byːɐ.ʃtə
Nagelfeile	'naː.gəl.faɪ.lə
Nagellack	'naː.gɛ.lak
Nagellackentferner	'naː.gɛ.la.kɛnt.fə.ʀnɐ
nageln	'naː.gɛln
nageln Dieselmotor	'naː.gɛln .diː.zəl.moː.toːɐ
nagelnd	'naː.gɛlnt
nagelneu	'naː.gə.lnɔɪ
Nagelpflege	'naː.gəl.pflə.gə
Nagelschere	'naː.gəl.ʃə.ʀə
Nagelschmied	'naː.gəl.ʃmiːt
nagelte	'naː.gəl.tə
nagelte fest	'naː.gəl.teː .fɛst
Nagelzange	'naː.gəl.ʦaŋ.gə
nagen	'naː.gən
nagend	'naː.gɛnt
Nagetier	'naː.gə.tiːɐ
Nagetiere	naː.gə.'tiː.ʀə
nagt	'nakt
nagt ab	'nakt .aːp
nagte ab	'naːk.teː .aːp
nah	'naː
nah verwandt	'naː .fɐ.vant
Nahaufnahme	'naː.aʊ.fnaː.mə
Nahbereich	'naː.bə.ʀaɪç
Nahbereich Fotografie	'naː.bə.ʀaɪç  .foː.tɔ.gʀaː.fiː
nahe	'naː.ə
nahe bei	'naː.eː .baɪ
nahe Umgebung	'naː.eː .ʊm.gə.bʊŋ
nahe Verwandschaft	'naː.eː .fɐ.vant.ʃaft
nahe Verwandtschaft	'naː.eː .fɐ.vant.ʃaft
nahegelegen	'naː.ə.gə.lə.gən
nahelegen	'naː.ə.lə.gən
nahelegend	'naː.ə.lə.gɛnt
naheliegend	'naː.ə.liː.gɛnt
nahend	'naː.ɛnt
nahestehend	'naː.ə.ʃteː.ɛnt
nahezu	'naː.ə.ʦuː
Nahkampf	'naː.kampf
nahm	'naːm
nahm ab	'naːm .aːp
nahm an	'naːm .aːn
nahm auf	'naːm .aʊf
nahm eine Hypothek auf	'naːm .aɪ.neː .hyː.poːt.hɛk .aʊf
nahm eine zu starke Dosis	'naːm .aɪ.neː .ʦuː .ʃtaɐ.keː .doː.ziːs
nahm in die Zange	'naːm .ɪn .diː .ʦaŋ.gə
nahm Neuerungen vor	'naːm .nɔɪ.ə.ʀʊŋ.gɛn .foːɐ
nahm Sonnenbad	'naːm .zɔ.nən.baːt
nahm teil	'naːm .taɪl
nahm vorein	'naːm .fɔ.ʀaɪn
nahm vorweg auf	'naːm .foːɐ.vɛk .aʊf
nahm wahr	'naːm .vaːɐ
nahm wieder	'naːm .viː.dɐ
nahm wieder auf	'naːm .viː.dɛɐ .aʊf
nahm wieder ein	'naːm .viː.dɛɐ .aɪn
nahm übel	'naːm .yː.bəl
nahrhaft	'naːɐ.haft
nahrhafte	'naːɐ.haːf.tə
nahrhaften	'naːɐ.haːf.tən
nahrhaftere	'naːɐ.haːf.tə.ʀə
nahrhaftes	'naːɐ.haːf.teːs
nahrhafteste	'naːɐ.haːf.tə.ʃtə
Nahrhaftigkeit	'naːɐ.haːf.tɪç.kaɪt
Nahrung	'naː.ʀʊŋ
Nahrungsaufnahme	'naː.ʀʊnks.aʊ.fnaː.mə
Nahrungskette	'naː.ʀʊnks.kɛ.tə
Nahrungsmittel	'naː.ʀʊnks.mɪ.təl
Nahschuss	'naː.ʃʊs
Naht	'naːt
nahtlos	'naː.tloːs
naiv	'naːiːf
naive	'naːiː.fə
naivere	'naːiː.fə.ʀə
Naivität	'naːiː.fiː.teːt
naivste	'naːiːf.ʃtə
Name	'naː.mə
Namen	'naː.mən
Namen	'naː.mən
Namen in eine Liste eintragen	'naː.mɛn .ɪn .aɪ.neː .lɪ.ʃteː .aɪn.tʀaː.gən
namenlos	'naː.mə.nloːs
namenlose	'naː.mə.nloː.zə
namens	'naː.mɛns
Namensgeber	'naː.mən.sgə.bɐ
Namensgeberanforderung	'naː.mən.sgə.bə.ʀaːn.fɔɐ.də.ʀʊŋ
Namensgeberzeichen Fernschreiber	'naː.mən.sgə.bɛɐ.ʦaɪ.çɛn  .fɐn.ʃʀaɪ.bɐ
Namensirrtum	'naː.mən.zɪɐ.tuːm
Namensparameter	'naː.mən.ʃpaː.ʀaː.mə.tɐ
Namensschild	'naː.mən.sʃɪlt
Namensschilder	'naː.mən.sʃɪl.dɐ
Namenstafel	'naː.mən.ʃtaː.fəl
Namensverzeichnis	'naː.mən.sfɐ.ʦaɪ.çniːs
Namensvetter	'naː.mən.sfɛ.tɐ
Namensvettern	'naː.mən.sfɛ.tɐn
namentlich	'naː.mən.tlɪç
namentliche	'naː.mən.tlɪ.çə
namhaft	'naːm.haft
namhaftere	'naːm.haːf.tə.ʀə
